Title,Authors,Publication Year,DOI,DB,Población estudiada,Método de DL usado,"Datos emocionales usados (facial, voz, texto)",Emociones descritas,Técnicas de IA utilizadas,Base de datos,Árbol de emociones,Resultados principales,Limitaciones,Estado inicial
a 10.13µj/classification 2-channel deep neural network based soc for negative emotion outburst detection of autistic children,"Aslam AR, Altaf MAB.",2021,10.1109/TBCAS.2021.3113613,"PubMed, Scopus, WoS",,,,,,,,,,"Excluido, no esta en sci-hub"
a machine learning investigation into the temporal dynamics of physical activity-mediated emotional regulation in adolescents with anorexia nervosa and healthy controls,"Lekkas D, Gyorda JA, Jacobson NC.",2023,10.1002/erv.2949,"PubMed, Scopus, WoS",adolescentes con anorexia nerviosa (AN) y sanos (12 y 20 años),LEML,"Actigrafía, Autoinformes de Afecto        ","jovialidad, hostilidad, atención, seguridad en uno mismo, tristeza, miedo, culpa y dos dimensiones generales de afecto positivo y negativo","ML, específicamente un marco de conjunto",Datos propios,No reporta,"1. Entre los adolescentes con anorexia nerviosa, los retrasos posteriores (≥2,5 horas) fueron importantes para predecir cambios en las emociones negativas como la hostilidad, la tristeza, el miedo y la culpa.
2. Se descubrió que el constructo holístico del ""afecto negativo"" era significativamente predecible entre los adolescentes con anorexia nerviosa.
3. Sólo la jovialidad y la seguridad en uno mismo, ambos constructos con valencia positiva, fueron significativamente predecibles entre los modelos de control específicos sanos.
4. El estudio reveló una asociación singularmente detectable entre la actividad física y el afecto negativo entre individuos con anorexia nerviosa, así como una asociación singularmente detectable entre la actividad física y constructos relacionados con el afecto positivo entre los controles sanos 1.1 .","1. Heterogeneidad en la representación del subtipo de anorexia nerviosa (AN) entre los participantes, con una mayoría de subtipo restrictivo, lo que limita la generalización de los hallazgos a distintos subtipos de AN.
2. Los participantes de control sanos fueron reclutados de boca en boca, lo que potencialmente representa una muestra de conveniencia, lo que también limita la generalización de los hallazgos.
3. La muestra más pequeña del estudio, junto con un número limitado de evaluaciones ecológicas momentáneas (EMA) representativas por persona, condujo a un grave desequilibrio de clases después de la estratificación en algunos casos, especialmente en la prueba retenida establecida en varios resultados afectivos para controles sanos.
4. Los resultados del estudio reflejaron un grado de sobreajuste del modelo durante el entrenamiento, lo que sugiere idiosincrasia y variabilidad en la naturaleza de las asociaciones entre actividad física y regulación emocional.
5. El estudio no diferenció entre emociones positivas y negativas específicas, y se necesita más investigación para explorar la generalización de los hallazgos a otras poblaciones de estudio de AN 1,1 1,2 .",
a predictive multimodal framework to alert caregivers of problem behaviors for children with asd (premac),"Zheng ZK, Staubitz JE, Weitlauf AS, Staubitz J, Pollack M, Shibley L, Hopton M, Martin W, Swanson A, Juárez P, Warren ZE, Sarkar N.",2021,10.3390/s21020370,"PubMed, Scopus, WoS",niños (4 a 15 años) con Trastorno del Espectro Autista (TEA) ,"RF, KNN, DT, NN, SVM, DA y NB","Fisiológicos (Movimiento corporal, Expresiones faciales, Rotaciones de cabeza, Estados de comportamiento)",No especifica,"ML con RF, KNN, DT, NN, SVM DA y NB",No reporta,No reporta,"1. El estudio desarrolló un marco predictivo multimodal, PreMAC, para alertar a los cuidadores sobre conductas problemáticas en niños con trastorno del espectro autista (TEA) 1,1 1,2 .
2. El marco integró la recopilación de datos de múltiples modalidades, incluidas señales fisiológicas, características basadas en el movimiento y expresiones faciales, para predecir y alertar a los cuidadores sobre precursores de conductas problemáticas en niños con TEA 1.3 1.4 .
3. El estudio demostró la viabilidad del protocolo experimental y la plataforma PreMAC, indicando que los niños con TEA toleraron bien la plataforma y el protocolo experimental, sin que se produjeran conductas problemáticas peligrosas o disruptivas 1.2 .
4. El equipo de investigación obtuvo el consentimiento informado de todos los sujetos involucrados en el estudio y garantizó la privacidad de los datos de los participantes 1.5 .","1. El estudio reconoció que la plataforma propuesta tiene limitaciones para capturar precursores fisiológicos que no son observables por los humanos, lo que indica que existen señales fisiológicas que el sistema tal vez no pueda detectar 1.1 .
2. La plataforma se validó en una muestra relativamente pequeña de siete niños con TEA, lo que puede limitar la generalización de los hallazgos a una población más amplia 1.1 .
3. El estudio no especificó el uso de una base de datos particular para la investigación, lo que puede limitar la reproducibilidad y accesibilidad de los datos utilizados en el estudio 1.2 .",
adolescents with borderline personality disorder show a higher response to stress but a lack of self-perception: evidence through affective computing,"Bourvis N, Aouidad A, Spodenkiewicz M, Palestra G, Aigrain J, Baptista A, Benoliel JJ, Chetouani M, Cohen D.",2021,10.1016/j.pnpbp.2020.110095,"PubMed, Scopus, WoS",adolescentes (13-18 años ),No especifica,"Video (movimientos corporales, puntos faciales), Fisiológicos (presión arterial, frecuencia cardíaca, temperatura, etc.)","emociones y los sentimientos relacionados con el estrés, la autopercepción y la heteropercepción del estrés","ML con SVM, NB, AdaBoost y C4.5",Datos propios,No reporta,"1. El estudio demostró que la tarea utilizada para evaluar las reacciones al estrés agudo fue eficaz tanto para los controles sanos como para los adolescentes con trastorno límite de la personalidad (TLP) 1.1 .
2. La investigación reveló que la tarea desencadenó principalmente la respuesta del sistema nervioso autónomo, en lugar de la respuesta hipotalámica-pituitaria-suprarrenal (HPA), como lo demuestra la falta de respuesta de cortisol en ambos grupos 1.1 .
3. El enfoque de computación afectiva para el estrés produjo clasificaciones de aprendizaje automático similares a las de los adultos, con una clasificación multimodal basada en datos fisiológicos más características de movimiento que arrojaron excelentes puntuaciones F1 1.1 .
4. El estudio encontró que los adolescentes con TLP mostraron una mayor respuesta al estrés en comparación con los controles sanos, y hubo una falta de autopercepción en los adolescentes con TLP 1.11.2 .","1. El pequeño tamaño de la muestra, que se determinó sobre la base del estudio inicial, puede limitar la generalización de los hallazgos 1.11.2 .
2. El estudio comparó a adolescentes con TLP con controles sanos, pero no los comparó con sujetos con otros diagnósticos, lo que podría haber proporcionado una comprensión más amplia de los hallazgos 1.2 .
3. La clasificación del aprendizaje automático puede parecer difícil de interpretar y existe la posibilidad de sobreajustar los datos de comportamiento asociados con la heteropercepción 1.3 .
4. El estudio no tuvo el poder para explorar correlaciones entre las respuestas al estrés y otras dimensiones clínicas o antecedentes, como depresión, tendencias suicidas, ansiedad, apego o trauma infantil 1.11.2 .",
behavioral observation and assessment protocol for language and social-emotional development study in children aged 0-6: the chinese baby connectome project,"Xu X, Wang Z, Zhang W, Guo J, Wei W, Zhang M, Ding X, Liu X, Yang Q, Wang K, Zhu Y, Sun J, Song H, Shen Z, Chen L, Shi F, Wang Q, Li Y, Zhang H, Li D.",2024,10.1186/s40359-024-02031-x,"PubMed, Scopus, WoS",niños (0-6 años),LSTM y CNN,"Video (segmentado en fotogramas, mapas de atención)",No especifica,IA y DL con LSTM y CNN,No reporta,No reporta,"El documento no proporciona detalles específicos sobre los principales hallazgos de la investigación, ya que describe principalmente los objetivos, métodos y herramientas utilizados en el estudio. 
1. Sin embargo, sí enfatiza el enfoque del estudio en desarrollar un conjunto de herramientas de evaluación integral para el desarrollo del lenguaje y socioemocional en niños de 0 a 6 años, abordando las necesidades y contextos específicos de la población china p. 4 . 
2. Además, el estudio tiene como objetivo identificar factores protectores y de riesgo que impactan el desarrollo socioemocional y del lenguaje en los niños, y emplea un diseño de cohorte longitudinal acelerado para monitorear el lenguaje y los resultados socioemocionales de los niños en varias etapas del desarrollo p. 7 .","1. Reconoce que la naturaleza compleja de los factores ambientales puede presentar desafíos a la hora de desentrañar sus contribuciones al lenguaje y al desarrollo socioemocional. 
2. la integración de herramientas de evaluación basadas en tecnología y datos fisiológicos y de neuroimagen multimodal puede generar preocupaciones éticas y de privacidad. 
3. La generalización de los hallazgos del estudio puede verse afectada por factores como las diferencias culturales y las disparidades socioeconómicas en las poblaciones estudiadas. 
5. Además, la naturaleza longitudinal de la evaluación del lenguaje y el desarrollo socioemocional en niños pequeños puede presentar desafíos logísticos y éticos que requieren una cuidadosa consideración durante todo el proceso de investigación p. 14p . 15 . ",
bridging the gap between emotion and joint action,"Bieńkiewicz MMN, Smykovskyi AP, Olugbade T, Janaqi S, Camurri A, Bianchi-Berthouze N, Björkman M, Bardy BG.",2021,10.1016/j.neubiorev.2021.08.014,"PubMed, Scopus, WoS","bebés, niños en edad preescolar y escolar, adolescentes y adultos jóvenes",RNN y AG-GCN. ,"imágenes, vídeos y señales fisiológicas",No especifica,"ML, DL y NN como RNN y AG-GCN",No reporta,No reporta,"1. Entrelazamiento de las emociones y la acción conjunta, enfatizando la necesidad de un enfoque integrador para comprender cómo las emociones influyen en las acciones conjuntas y viceversa 1.1 . 
2. El estudio también presenta evidencia sobre el impacto de las emociones en las interacciones sociales y el reconocimiento de las emociones en entornos grupales 1.2 . 
3. la investigación destaca el uso de modelos matemáticos, como redes neuronales recurrentes y redes neuronales convolucionales de gráficos grupales, para capturar emociones y analizar el comportamiento grupal ",,
detecting clinically relevant emotional distress and functional impairment in children and adolescents: protocol for an automated speech analysis algorithm development study,"Alemu Y, Chen H, Duan C, Caulley D, Arriaga RI, Sezgin E.",2023,10.2196/46970,"PubMed, Scopus, WoS",niños y adolescentes (5-18 años),RNN y LSTM,Audio,"ira, felicidad, miedo, neutral y tristeza","DL, con GMM, RNN y LSTM",No reporta,No reporta,"Los principales hallazgos de la investigación no se proporcionan explícitamente en los extractos. Sin embargo, los resultados preliminares del estudio indican que el algoritmo desarrollado tiene el potencial de mejorar los resultados relacionados con la detección de angustia emocional y deterioro funcional clínicamente relevante en niños y adolescentes p. 1 pág. 6 . ","1. la calidad y variabilidad de los datos del habla, el ruido de fondo y los trastornos del habla, que pueden afectar la precisión y confiabilidad de los biomarcadores. 
2. Además, la población de la muestra puede no ser representativa de la población general de EE. UU., lo que limita la generalización de los hallazgos. Las consideraciones legales y regulatorias, como las reglas de privacidad y el cumplimiento de las regulaciones, también pueden limitar el uso del algoritmo p. 6p . 7 . ",
ds-cnn: deep convolutional neural networks for facial emotion detection in children with down syndrome during dolphin-assisted therapy,"Moreno Escobar JJ, Morales Matamoros O, Aguilar Del Villar EY, Quintana Espinosa H, Chanona Hernández L.",2023,10.3390/healthcare11162295,"PubMed, Scopus, WoS",niños con Síndrome de Down,DS-CNN y machine vision,Imagenes (expresiones faciales) y Fisiológicos (ECG),"alegría, neutral, tristeza, sorpresa, atencion, calma, desagrado","DL, redes neuronales","Down’s Syndrome Dataset (DSDS), que contiene imágenes de las expresiones faciales de niños con Síndrome de Down.",No reporta,"1. Efectividad del Reconocimiento de Emociones: Se desarrolló un modelo de reconocimiento de emociones utilizando redes neuronales convolucionales (CNN) que puede clasificar con alta precisión las emociones de los niños con Síndrome de Down durante la terapia asistida por delfines.
2. Mejora en la Personalización de la Terapia: Al comprender las respuestas emocionales de los niños, los terapeutas pueden adaptar las sesiones de terapia para satisfacer mejor las necesidades emocionales individuales, lo que potencialmente mejora los resultados terapéuticos.
3. Identificación de Patrones Emocionales: El estudio permite el monitoreo y seguimiento de las emociones a lo largo de las sesiones de terapia, lo que ayuda a identificar patrones o desencadenantes que pueden influir en el progreso del niño.
4. Contribución a un Entorno Terapéutico Empático: Al tener una mejor comprensión de las emociones de los niños con Síndrome de Down, se puede fomentar un ambiente terapéutico más solidario y empático, promoviendo su desarrollo emocional y crecimiento general.
5. Integración de Técnicas Avanzadas: La investigación combina técnicas de visión artificial y aprendizaje profundo, lo que representa un avance significativo en el campo del reconocimiento de emociones en poblaciones con dificultades de comunicación p2, 6, 20","1. Tamaño Limitado de la Base de Datos: El modelo fue entrenado con un conjunto de datos relativamente pequeño, lo que podría afectar la generalizabilidad de los resultados. Un tamaño de muestra limitado puede no capturar completamente la variabilidad en las expresiones faciales de los niños con Síndrome de Down durante la terapia.
2. Variabilidad en las Emociones: La diversidad en las respuestas emocionales de los niños puede no estar completamente representada en el conjunto de datos utilizado, lo que podría limitar la capacidad del modelo para reconocer todas las emociones de manera efectiva.
3. Falta de Comparaciones Directas: No se encontraron otros estudios que utilizaran el mismo conjunto de datos, lo que dificulta la comparación directa de los resultados y la validación del enfoque propuesto.
4. Desafíos en la Implementación en Tiempo Real: Aunque el modelo logra el reconocimiento de emociones en tiempo real, la implementación práctica en entornos terapéuticos puede enfrentar desafíos técnicos y logísticos que no se abordaron en el estudio.
5. Limitaciones en la Evaluación de Resultados: La evaluación de la efectividad del modelo se basa en un conjunto de datos de prueba que puede no reflejar completamente el rendimiento en situaciones del mundo real, donde las condiciones pueden variar significativamente p. 2 p.19 ",
emotional ai in education and toys: investigating moral risk awareness in the acceptance of ai technologies from a cross-sectional survey of the japanese population,"Ho MT, Mantello P, Vuong QH.",2024,10.1016/j.heliyon.2024.e36251,"PubMed, Scopus, WoS",población japonesa,No especifica,Audio y Fisiológicos (biometricos),"frustración, el estrés y la felicidad ",IA,No reporta,No reporta,"1. correlación negativa significativa entre las actitudes hacia la IA emocional tanto en las escuelas como en los juguetes y las preocupaciones sobre las violaciones de la privacidad o la naturaleza distópica de monitorear constantemente las emociones de los niños y estudiantes con IA 1.1 . 
2. actitud ambivalente hacia las herramientas afectivas en el aula japonesa, indicando que si bien los profesores y los padres acogen con agrado los beneficios de las nuevas tecnologías, también sienten que la tecnología debe ser supervisada de cerca por adultos responsables 1.2 . 
3. se identifica diferencias estadísticamente significativas entre los sexos en diversas variables relacionadas con las preocupaciones sobre los juguetes emocionales de IA y su interacción con los niños 1.3 . 
4. revela una correlación significativa negativa entre la preocupación por la violación de la privacidad y la actitud hacia la IA emocional tanto en las escuelas como en los juguetes, lo que indica una preocupación compartida sobre las implicaciones de la IA emocional para la privacidad en ambos contextos 1.4 .","1. enfoque exclusivo en Japón, lo que puede restringir la generalización de los resultados a un contexto internacional más amplio 1.1 . 
2. el formato de la encuesta con una pregunta basada en Likert por variable podría no captar los pensamientos complejos que tiene un encuestado sobre estas variables, lo que indica una posible limitación en la profundidad de la comprensión de las perspectivas de los encuestados 1.2 . 
3. el estudio reconoce que no todos los valores importantes en la cultura educativa y de crianza infantil japonesa se tienen en cuenta debido a las limitaciones impuestas por el formato de la encuesta en línea, lo que sugiere una posible limitación en la exhaustividad de la encuesta 1.3 . ",
fear recognition for women using a reduced set of physiological signals,"Miranda JA, Canabal MF, Gutiérrez-Martín L, Lanza-Gutierrez JM, Portela-García M, López-Ongil C.",2021,10.3390/s21051587,"PubMed, Scopus, WoS",Mujeres,"SVM, KNN y ENS ","Fisiológicos (ECG, GSR, SKT)        ",miedo,"ML y DL con SVM, KNN y ENS","MIT, DEAP, MAHNOB, DECAF, ASCERTAIN y WESAD",No reporta,"1. El estudio se centra en el desarrollo de un sistema especializado de reconocimiento del miedo para mujeres basado en un conjunto reducido de señales fisiológicas, con el objetivo de proteger a personas vulnerables en escenarios como agresiones personales, violencia de género o agresión sexual p. 3 . 
2. La investigación enfatiza la importancia de las señales fisiológicas como una valiosa fuente de información relacionada con el contexto emocional humano, particularmente para reconocer la emoción discreta del
 miedo p. 3 . 
3. El estudio analiza el uso de técnicas de aprendizaje automático y aprendizaje profundo, como la máquina de vectores de soporte (SVM), el k-vecino más cercano (KNN), los clasificadores de conjunto (ENS) y las redes neuronales profundas, para el reconocimiento de emociones basado en datos fisiológicos p. 6p. 10 . 
4. La investigación destaca la necesidad de bases de datos abiertas y equilibradas para la emoción del miedo utilizando señales fisiológicas y considerando la perspectiva de género, ya que las bases de datos actuales carecen de equilibrio y perspectiva de género p. 5 . 
5. El estudio identifica las limitaciones de la investigación actual, enfatizando la necesidad de un conjunto de datos novedoso centrado en la detección del miedo, incluido el uso de tecnología de inmersión emocional, la modificación de la metodología de etiquetado para considerar la perspectiva de género y una distribución de estímulos adecuadamente equilibrada con respecto al objetivo. emociones y un mayor número de participantes p. 18 . 
","1. El estudio reconoce las limitaciones del conjunto de datos utilizado, enfatizando la necesidad de un conjunto de datos mejor y más grande para crear un sistema más confiable, particularmente para la detección 
del miedo  . 18  . 
2. La investigación destaca las limitaciones del enfoque de segmentación de datos utilizado, especialmente cuando se trata de señales fisiológicas que cambian lentamente, y sugiere la necesidad de diferentes técnicas para tener en cuenta diversas particularidades fisiológicas sin desperdiciar información p 17  . 
3. El estudio enfatiza la necesidad de un conjunto de datos novedoso centrado en la detección del miedo, incluido el uso de tecnología de inmersión emocional, la modificación de la metodología de etiquetado para considerar la perspectiva de género y una distribución de estímulos adecuadamente equilibrada con respecto a las emociones objetivo y un mayor número de participantes p 18  . ",
"texto, audio, video y estimulación pictórica. Estos estímulos se utilizaron para registrar datos fisiológicos cuando las emociones se exhibían en un entorno virtual, y se registraron señales EEG durante los diferentes tipos de estimulaciones cognitivas emocionales","ArulDass SD, Jayagopal P.",2022,10.3390/diagnostics12123188,"PubMed, Scopus, WoS",adolescentes (15-25 años),"CNN, RNN, SVM, KNN, ANN","Texto, Audio, Video y Fisiológicos (ondas cerebrales, ECG) ","placer, dolor, felicidad, ira y tristeza","DL, redes neuronales",No reporta,No reporta,"1. El estudio tuvo como objetivo categorizar estados afectivos complejos, particularmente placer y pena, en adolescentes afectados por alexitimia utilizando señales EEG, técnicas de aprendizaje automático y un entorno virtual multimodal 1.1 1.2 .
2. El estudio empleó con éxito enfoques de aprendizaje automático, incluidas máquinas de vectores de soporte (SVM), para separar y clasificar rigurosamente emociones complejas según la frecuencia del tiempo y las características correlacionales extraídas de las señales de EEG 1.2 1.3 .
3. La investigación identificó características y patrones de ondas cerebrales importantes asociados con la discriminación entre emociones de placer y pena, centrándose particularmente en la relevancia del hemisferio izquierdo en la identificación de emociones 1.4 .
4. El estudio también evaluó la intensidad emocional y las calificaciones de retroalimentación basadas en estimulación multimodal, como texto, audio y video, para comprender las experiencias emocionales subjetivas de los participantes 1,5 .",No reporta,
