Title,Authors,Publication Year,DOI,DB,Población estudiada,Método de DL usado,"Datos emocionales usados (facial, voz, texto)",Emociones descritas,Técnicas de IA utilizadas,Base de datos,Árbol de emociones,Resultados principales,Limitaciones,Estado inicial
improved digital therapy for developmental pediatrics using domain-specific artificial intelligence: machine learning study,"Washington P, Kalantarian H, Kent J, Husic A, Kline A, Leblanc E, Hou C, Mutlu OC, Dunlap K, Penev Y, Varma M, Stockham NT, Chrisman B, Paskov K, Sun MW, Jung JY, Voss C, Haber N, Wall DP.",2022,10.2196/26760,"PubMed, Scopus, WoS",niños con afecciones del desarrollo y del comportamiento,CNN,Video (expresiones faciales)        ,"ira, disgusto, miedo, felicidad, tristeza, sorpresa y neutral","ML, CNN","Expresión facial femenina japonesa (JAFFE), imágenes de AffectNet, el conjunto de datos de Cohn-Kanade extendido (CK+) y el conjunto de datos de Expresión facial afectiva infantil (CAFE), que es el conjunto de datos más grande de expresiones faciales de niños y se ha convertido en un punto de referencia estándar para este campo",Clasificación de emociones básicas de Ekman + neutro.,"1. El estudio demostró con éxito el uso de una canalización para etiquetar de forma inteligente y continua fotogramas de imágenes recopilados pasivamente desde juegos móviles para generar suficientes datos de entrenamiento para un clasificador de visión por computadora de alto rendimiento, en relación con trabajos anteriores p. 9 . 
2. El estudio seleccionó un conjunto de datos que contiene imágenes enriquecidas con expresiones faciales naturalistas de niños, incluidos, entre otros, niños con autismo p. 9 .  ","1. el uso de siete categorías de emociones discretas y distintas, la presencia de evocaciones de emociones falsas en el conjunto de datos debido a restricciones éticas y la falta de abordar emociones complejas o compuestas. 
2. Además, el estudio no separó categorías de emociones complejas o compuestas, como ""felizmente sorprendida"" o ""temerosamente sorprendida"", y no exploró la posibilidad de predecir expresiones faciales compuestas y complejas. 
3. Además, el estudio reconoció la necesidad de una investigación más exhaustiva de las clases de emociones finales y el desafío de encontrar una solución al problema de la evocación de emociones falsas que apaciguaría a los comités de revisión ética  p. 10
",
"improvement of attention-deficit/hyperactivity disorder symptoms in school-aged children, adolescents, and young adults with autism via a digital smartglasses-based socioemotional coaching aid: short-term, uncontrolled pilot study","Vahabzadeh A, Keshav NU, Salisbury JP, Sahin NT.",2018,10.2196/mental.9631,"PubMed, Scopus, WoS","niños, adolescentes y adultos jóvenes con trastorno del espectro autista (TEA)",No reporta,"Imágenes (rostros humanos, expresiones faciales)",No especifica,"El sistema Empowered Brain incorpora tecnologías de inteligencia artificial (IA) desarrolladas por Amazon y utiliza tecnologías experimentales de IA p. 3 . Sin embargo, los modelos matemáticos específicos, como el aprendizaje profundo, el aprendizaje automático o las redes neuronales, no se mencionan explícitamente en los extractos del documento proporcionado. Por lo tanto, no se especifican los tipos exactos de modelos matemáticos utilizados. ",No reporta,No reporta,"1. El estudio reclutó a 8 niños, adolescentes y adultos jóvenes con trastorno del espectro autista (TEA) y midió sus síntomas relacionados con el TDAH utilizando la subescala de hiperactividad de la Lista de verificación de comportamiento aberrante (ABC-H),  p. 1  pág. 5  . Los participantes recibieron una intervención con el sistema 
Empowered Brain, que implicó el uso de módulos de comportamiento y comunicación social basados ​​en gafas inteligentes mientras interactuaban con su cuidador  p. 1  . 
2. Las puntuaciones ABC-H informadas por los cuidadores se calcularon a las 24 y 48 horas después de la sesión, y un cambio clínicamente significativo en ABC-H se determinó mediante un cambio del 25 % o más en la puntuación  p. 1  pág. 5  . 
3. El estudio encontró que el grupo de síntomas altos relacionados con el TDAH mostró una reducción en las puntuaciones ABC-H tanto a las 24 horas (reducción del 37,6%) como a las 48 horas (reducción del 56,4%) después de la sesión. El grupo de síntomas bajos relacionados con el TDAH pareció mostrar una respuesta a las 48 horas (reducción del 66,3%), pero no a las 24 horas (reducción del 20,0%)  . 8  . 
4. El estudio también observó que no hubo angustia o problemas notables reportados por los participantes mientras usaban las gafas inteligentes durante la sesión de entrenamiento  p. 8  . ","1. Falta de un grupo de control: La ausencia de un grupo de control limita la capacidad de comparar los efectos de la intervención con un grupo que no la recibió  p. 8  . 
2. Tamaño de muestra pequeño: el estudio incluyó solo 8 participantes, lo cual, aunque es relativamente grande en comparación con otras investigaciones sobre tecnologías novedosas en TEA, sigue siendo un tamaño de muestra pequeño  p. 8  . 
3. Necesidad de enfoques cualitativos: si bien el estudio utilizó enfoques cuantitativos, se sugirió que los esfuerzos de investigación futuros se beneficiarían del uso de enfoques cualitativos para proporcionar una comprensión más integral del impacto de la intervención  p. 8  . 
4. Posible efecto de expectativa: el estudio reconoció el potencial de un efecto de expectativa en el uso de la tecnología, dado que la sesión de prueba fue una experiencia novedosa tanto para el participante como para el cuidador  p. 8  . 
5. Usabilidad y tolerabilidad: aunque el estudio informó que todos los participantes toleraron el uso de gafas inteligentes durante la sesión de prueba, la usabilidad y tolerabilidad de la tecnología son factores importantes que podrían influir en su efectividad  p8  ",
influence of pokemon go on physical activity and psychosocial well-being in children and adolescents: systematic review,"Liang H, Wang X, An R.",2023,10.2196/49019,"PubMed, Scopus, WoS",niños y adolescentes (menores de 18 años),No reporta,Fisiológicos (biometricos),"inteligencia emocional, bienestar personal, autocontrol, emocionalidad, sociabilidad, temperamento y bienestar ",No especifica,No reporta,No reporta,"1. La revisión identificó un número limitado de estudios que cumplieron con los criterios de inclusión, lo que indica una escasez de investigaciones exhaustivas en esta área  p. 10  . 
2. Los estudios incluidos en la revisión mostraron heterogeneidad en la ubicación geográfica, el entorno y el diseño del estudio, lo que complica la generalización de los hallazgos  p. 10  . 
3. Ninguno de los estudios incluidos adoptó un diseño de ensayo controlado aleatorio (ECA), lo que genera inquietudes sobre la validez interna de los hallazgos  p. 10  . 
4. Las diversas medidas utilizadas para la actividad física y el bienestar psicosocial en los estudios incluidos impidieron un metanálisis, lo que limitó la revisión a una síntesis narrativa  p. 10  . 
5. La revisión destacó la necesidad de una mayor estandarización en las herramientas de medición para garantizar evaluaciones consistentes y completas de la actividad física y el bienestar psicosocial en futuras investigaciones  p. 11  . 
","1. Ninguno de los estudios incluidos adoptó un diseño de ensayo controlado aleatorio (ECA), lo que genera inquietudes sobre la validez interna de los hallazgos p. 10 . 
2. El número relativamente pequeño de estudios incluidos en la revisión puede limitar la exhaustividad y generalización de los resultados p. 10 . Las diversas medidas utilizadas para la actividad física y el bienestar psicosocial en los estudios incluidos impidieron un metanálisis, limitando así la revisión a una síntesis narrativa p. 10 . 
3. Los tamaños de muestra pequeños o medianos en los estudios incluidos no fueron representativos a nivel nacional o regional, lo que puede afectar la generalización de los hallazgos a la población infantil y adolescente más amplia p. 10 . 
4. Ningún estudio evaluó la actividad física y el bienestar psicosocial simultáneamente, lo que dificulta comprender cómo estos dos factores pueden interactuar e influir en el impacto general de Pokémon GO en niños y adolescentes p. 10 . 
5. La variedad de instrumentos para evaluar el bienestar psicosocial y la actividad física introduce posibles inconsistencias en la captura de comportamientos y la evaluación de impactos p. 10 .",
key factors selection on adolescents with non-suicidal self-injury: a support vector machine based approach,"Yang J, Chen Y, Yao G, Wang Z, Fu X, Tian Y, Li Y.",2022,10.3389/fpubh.2022.1049069,"PubMed, Scopus, WoS",adolescentes (10-24 años) diagnosticados con trastornos del estado de ánimo,SVM,"Texto (Encuestas, Escalas psicológicas)","ansiedad, depresión y las dificultades en la regulación de las emociones","ML, SVM",Datos propios,No reporta,"1. Factores clave identificados: El estudio identificó factores clave asociados con NSSI en adolescentes, incluido el nivel de educación del adolescente, los niveles de ansiedad y depresión, los rasgos de personalidad y el trauma infantil p. 8 . 
2. Diferencias psicológicas y de comportamiento: se observaron diferencias significativas entre los grupos con NSSI, sin NSSI y grupos de desarrollo típico (TD) en términos de variables psicológicas y de comportamiento, como ansiedad, depresión, rasgos de personalidad, capacidad de regulación de las emociones y trauma infantil p. 7 . 
3. Selección de características: el estudio empleó un modelo multivariado para explorar factores de riesgo, revelando interacciones entre factores y destacando la importancia de la selección de características para una clasificación precisa de los trastornos del estado de ánimo p. 9 . 
4. Precisión de clasificación: el método basado en SVM demostró una precisión de clasificación mejorada, lo que indica la naturaleza crítica de las características seleccionadas para una clasificación precisa de los trastornos del estado de ánimo p. 9 . 
",No reporta,
kids' emotion recognition using various deep-learning models with explainable ai,"Rathod M, Dalvi C, Kaur K, Patil S, Gite S, Kamat P, Kotecha K, Abraham A, Gabralla LA.",2022,10.3390/s22208066,"PubMed, Scopus, WoS",Niños (7-10 años),CNN,Imágenes y videos ,"felicidad, tristeza, sorpresa, miedo, enojo, disgusto y neutral.","VGGNets, ResNets, DenseNets, InceptionV3, e InceptionResNetV2",LIRIS Children Spontaneous Facial Expression Video Database y Datos propios.,No reporta,"- Las CNN utilizadas lograron una alta precisión en la detección de emociones (ResNet152 V2 alcanzó hasta 89.31% en LIRIS y 90.98% en el dataset propio).
- Se usaron técnicas como Grad-CAM y ScoreCam para hacer más comprensible cómo las CNN detectan emociones a partir de características faciales", Desequilibrio en el conjunto de datos y variación en la duración de las expresiones.,
"objectively quantifying pediatric psychiatric severity using artificial intelligence, voice recognition technology, and universal emotions: pilot study for artificial intelligence-enabled innovation to address youth mental health crisis","Caulley D, Alemu Y, Burson S, Cárdenas Bautista E, Abebe Tadesse G, Kottmyer C, Aeschbach L, Cheungvivatpant B, Sezgin E.",2023,10.2196/51912,"PubMed, Scopus, WoS",Niños y adolescentes,RNN,Audio,"ira, miedo, tristeza y felicidad","Gaussian Mixture Models, Expectation Maximization y RNN",No reporta,No reporta,"1. La detección automática de emociones a partir del habla de los pacientes mediante modelos de inteligencia artificial es factible 
2. El modelo basado en CNN demostró ser prometedor en la detección generalizada de emociones",Falta de análisis preliminar y justificación de métodos,
predicting effortful control at 3 years of age from measures of attention and home environment in infancy: a machine learning approach,"Musso MF, Moyano S, Rico-Picó J, Conejero Á, Ballesteros-Duperón MÁ, Cascallar EC, Rueda MR.",2023,10.3390/children10060982,"PubMed, Scopus, WoS",niños (3 años),ANN de perceptrón multicapa y un algoritmo de retropropagación,"Medidas de atención, variables ambientales",No especifica,ML como ANN,Datos propios,No reporta,"1. El control esforzado (CE) a los 3 años de edad podría predecirse a partir de medidas ambientales y de atención tempranas tomadas en la infancia utilizando una metodología de aprendizaje automático de redes neuronales artificiales (RNA)  p. 4  . 
2. El estudio tuvo como objetivo identificar patrones de variables individuales y ambientales entre los 6 y 9 meses de edad que podrían permitir una clasificación predictiva precisa de las dificultades de autorregulación (es decir, CE baja) a los 3 años de edad  p. 4  . 
3. Los hallazgos del estudio sugieren que la atención y la CE son aspectos clave en el desarrollo de la autorregulación  p. 13  . 
4. La investigación enfatiza el potencial de los enfoques de aprendizaje automático, como ANN, para predecir resultados de desarrollo basados ​​en medidas tempranas, proporcionando información sobre el valor predictivo de los factores ambientales y de atención temprana para dificultades de autorregulación posteriores  p. 4  .","1. El estudio solo utilizó medidas informadas por los padres sobre la CE de los niños a los 36 meses, y sería beneficioso incluir medidas objetivas de conducta autorregulada en estudios futuros  p. 15  . 
2. La investigación no consideró variables ambientales específicas como la estimulación del lenguaje y los estilos parentales, que podrían contribuir al desarrollo de la autorregulación. Además, en el estudio no se incluyeron variables individuales específicas, como factores genéticos p. 15  . 
3. El tamaño de la muestra fue pequeño y no probabilístico, lo que potencialmente afectó la generalización de las relaciones y patrones encontrados en la muestra. Se necesitan investigaciones futuras para replicar los hallazgos en muestras de niños diferentes y más grandes  p. 16  . 
",
psychophysiological arousal in young children who stutter: an interpretable ai approach,"Sharma H, Xiao YI, Tumanova V, Salekin A.",2022,10.1145/3550326,"PubMed, Scopus, WoS",niños en edad preescolar,"CNN, RNN y LSTM",Fisiológicos (respuestas en condiciones neutrales y de narración)       ,"intensidad del estado afectivo, desde la calma hasta la gran excitación o alerta ","ML, DL y redes neuronales, CNN, RNN, LSTM y MIL",No reporta,No reporta,"1. la identificación y visualización de diferencias de patrones temporales segundo a segundo en la excitación fisiológica de niños en edad preescolar que tartamudean (CWS) y aquellos que no lo hacen (CWNS) mientras hablan con fluidez perceptual en condiciones desafiantes. 
2. El estudio también desarrolló y evaluó clasificadores para diferenciar CWS de CWNS en función de sus respuestas fisiológicas durante situaciones estresantes y tareas de narración. 
3. Además, el estudio empleó modelos de aprendizaje profundo, como redes neuronales convolucionales (CNN), redes neuronales recurrentes (RNN) y modelos de memoria a corto plazo (LSTM), para analizar e interpretar los patrones de respuesta fisiológicos distintivos de CWS de CWNS durante producción del habla en diferentes condiciones desafiantes p. 8p . 23 .  ","1. análisis de datos de sólo dos condiciones, lo que sugiere que el trabajo futuro podría beneficiarse del muestreo de datos de una gama más amplia de situaciones para determinar los límites de validez predictiva de los modelos.
2. Además, el alcance del estudio no incluye una evaluación del habla de los niños tartamudos. 
3. Los autores también señalan que el análisis multimodal de la acústica del habla y los parámetros fisiológicos podría ser una dirección de investigación futura. 
4. Además, el estudio reconoce la necesidad de una futura implementación y evaluación del enfoque sobre dispositivos portátiles para la comprensión longitudinal de la excitación fisiológica situacional de los niños tartamudos p. 23 . ",
"spatial statistical machine learning models to assess the relationship between development vulnerabilities and educational factors in children in queensland, australia","Draidi Areed W, Price A, Arnett K, Mengersen K.",2022,10.1186/s12889-022-14541-7,"PubMed, Scopus, WoS",niños (5 años),RF espaciales y NN,No especifica,No especifica,ML estadístico espacial como modelos RF espaciales y redes neuronales para datos espaciales,Censo Australiano de Desarrollo Temprano (AEDC) y la Oficina Australiana de Estadísticas (ABS) ,No reporta,"1. Los modelos de aprendizaje automático estadístico espacial, en particular el modelo de bosque aleatorio espacial (SRF), proporcionan un mejor ajuste en comparación con los modelos que ignoran la variación espacial de los datos. 
2. Se demostró que el modelo SRF es el único modelo capaz de explicar toda la variación espacial en cada una de las vulnerabilidades de desarrollo consideradas en el estudio de caso. 
3. El análisis espacial reveló que la asistencia al preescolar tiene una fuerte influencia en la vulnerabilidad del dominio de la salud física y la vulnerabilidad de la madurez emocional entre los niños en su primer año de escuela. 
4. La mayor asistencia al preescolar estuvo fuertemente asociada con una reducción de las vulnerabilidades del desarrollo físico y emocional entre los niños en su primer año de escuela a nivel de población de áreas pequeñas. 
5. El estudio enfatiza la importancia de considerar la naturaleza
espacial de los datos al ajustar modelos estadísticos de aprendizaje automático y proporciona información sobre los avances en las metodologías para aplicar el aprendizaje estadístico automático en la salud pública y comprender el desarrollo infantil en Queensland, Australia  p. 1  pág. 10  .","1. La dependencia de datos de encuestas en un nivel de agregación de área pequeña, lo que requiere precaución al hacer inferencias en otro nivel de agregación o sobre individuos debido a sesgos como la paradoja de Simpson y el problema de la unidad de área modificable. 
2. La necesidad de realizar más investigaciones para evaluar otras variables y su interacción, así como para evaluar si otros enfoques pueden proporcionar más información sobre el estudio de caso. 
3. El estudio se centra en la vecindad espacial definida en función de límites compartidos, que pueden no capturar toda la autocorrelación espacial relevante para el modelo de bosque aleatorio. 
4. La influencia potencial de otros factores, como el cuidado primario y la educación de los padres, el peso al nacer, la paternidad soltera y la sensibilidad cultural, en los resultados. 
5. La presencia de datos faltantes, que requirieron imputación utilizando promedios de vecindad espacial y la categoría de vecindad de mayor frecuencia para datos continuos y categóricos, respectivamente. 
6. La reducción del análisis a las 526 regiones restantes del Área Estadística Nivel 2 (SA2) debido a valores faltantes para dos islas sin vecinos contiguos  p. 10",
the correlation between brain structure characteristics and emotion regulation ability in children at high risk of autism spectrum disorder,"Ding N, Fu L, Qian L, Sun B, Li C, Gao H, Lei T, Ke X.",2024,10.1007/s00787-024-02369-y,"PubMed, Scopus, WoS",,,,,,,,,,"Excluido, no esta en sci-hub"
the performance of emotion classifiers for children with parent-reported autism: quantitative feasibility study,"Kalantarian H, Jedoui K, Dunlap K, Schwartz J, Washington P, Husic A, Tariq Q, Ning M, Kline A, Wall DP.",2020,10.2196/13174,"PubMed, Scopus, WoS",niños con autismo,No especifica,Imágenes ,"alegría, tristeza, sorpresa, disgusto y enfado","ML e IA con Microsoft Azure Emotion API, Amazon AWS Rekognition, Google Cloud Vision API y Sighthound",Cohn-Kanade y Belfast,No reporta,"1. Los clasificadores de emociones disponibles para el público en general a través de Microsoft, Amazon, Google y Sighthound se adaptan bien a la población pediátrica y podrían usarse para desarrollar terapias móviles dirigidas a aspectos de la comunicación e interacción social  p. 2  . 
2. El estudio evaluó la precisión y el rendimiento de varios clasificadores de última generación utilizando datos de imágenes de niños con autismo informado por los padres, proporcionando información sobre la viabilidad de utilizar estas API en futuros enfoques de terapia móvil  p. 2  . 
3. El estudio también destacó el potencial de las soluciones móviles y digitales modernas, aprovechando los avances recientes en visión por computadora, realidad aumentada, robótica e inteligencia artificial para poblaciones con retrasos en el desarrollo, como el autismo  p 4  . ","1. Análisis de solo un subconjunto de clasificadores de emociones existentes, enfatizando los de los principales proveedores de servicios en la nube, con esfuerzos futuros necesarios para ampliar la evaluación para incluir clasificadores menos prolíficos que requieren licencias pagas  p. 10  . 
2. La confianza en los diagnósticos informados por los padres, que pueden no siempre ser objetivos, y la falta de descartar todas las condiciones comórbidas, incluido el trastorno por déficit de atención con hiperactividad, que se ha demostrado que afecta el procesamiento y la función emocional en los niños  p. 10  
3. Distribución desigual de fotogramas entre categorías de emociones en el conjunto de datos utilizado, que puede estar relacionada con déficits sociales asociados con el autismo o una mayor prevalencia de ciertas emociones debido a la naturaleza inherente del juego  p. 10  . ",
training and profiling a pediatric facial expression classifier for children on mobile devices: machine learning study,"Banerjee A, Mutlu OC, Kline A, Surabhi S, Washington P, Wall DP.",2023,10.2196/39917,"PubMed, Scopus, WoS",niños (2-8 años),CNN,Imágenes ,No especifica,"ML, CNN y técnicas de optimización","Conjunto de imágenes de rostros emocionales infantiles del Instituto Nacional de Salud Mental (NIMH‐ChEFS), la expresión facial Phoenix (FePh), los rostros emocionales dirigidos por Karolinska (KDEF), el KDEF promedio (AKDEF) y la base de datos de Dartmouth de rostros de niños (Dartmouth), conjunto de datos extendido de Cohn-Kanade (CK+), expresión facial femenina japonesa (JAFFE), conjunto de datos de rostros de Radboud (RaFD), conjunto de expresiones faciales de NimStim (NimStim) y base de datos de expresiones faciales de Tsinghua (Tsinghua-FED)",No reporta,"1. la implementación exitosa del reconocimiento automatizado de expresiones faciales en dispositivos móviles para niños. 
2. El estudio destaca la importancia de entrenar clasificadores en niños en lugar de adultos y evalúa el desempeño de los modelos frente a diferentes grupos étnicos. 
3. El mejor modelo logró resultados de última generación en el reconocimiento de expresiones para niños y al mismo tiempo fue lo suficientemente eficiente como para realizar inferencias en tiempo real en un teléfono Motorola Moto G6. 
4. Además, el estudio identificó varios grupos étnicos que obtuvieron peores resultados debido a que estaban subrepresentados en los datos de entrenamiento. ","1. la evaluación del rendimiento de los modelos frente a un solo conjunto de datos (CAFE), lo que indica la necesidad de realizar una evaluación adicional de conjuntos de datos con más heterogeneidad para evaluar mejor la generalización de los modelos. 
2. Además, el estudio señaló que las etiquetas de las imágenes GuessWhat tenían demasiado ruido después de la limpieza y requerían etiquetas más precisas para ser un conjunto de datos de evaluación confiable. 
3. Además, el perfil de los modelos se limitó a un teléfono Moto G6, y el estudio sugirió la necesidad de realizar pruebas más exhaustivas en dispositivos con menos potencia computacional y diferentes sistemas operativos.
4. Finalmente, el estudio reconoció que pueden ser necesarios modelos más grandes para generalizar a datos con más expresiones p. 8",
utilisation of machine learning to predict surgical candidates for the treatment of childhood upper airway obstruction,"Liu X, Pamula Y, Immanuel S, Kennedy D, Martin J, Baumert M.",2022,10.1007/s11325-021-02425-w,"PubMed, Scopus, WoS",,,,,,,,,,"Excluido, no esta en sci-hub"
withdrawal ruptures in adolescents with borderline personality disorder psychotherapy are marked by increased speech pauses-can minimal responses be automatically detected?,"Künsch C, Fürer L, Steppan M, Schenk N, Blum K, Kaess M, Koenig J, Schmeck K, Zimmermann R.",2023,10.1371/journal.pone.0280329,"PubMed, Scopus, WoS",adolescentes (13-19 años),RF,Audio,No reporta,"ML, algoritmo de RF",Datos propios,No reporta,"1. uso de pausas del habla para detectar automáticamente rupturas de abstinencia en adolescentes con trastorno límite de la personalidad durante la psicoterapia. 
2. El estudio encontró que las pausas del habla, particularmente aquellas asociadas con marcadores de respuesta mínima, pueden usarse para detectar rupturas por abstinencia. 
3. Además, se observó que las rupturas por abstinencia están marcadas por un aumento de las pausas del habla, y el estudio predijo con éxito rupturas marcadas con respuestas mínimas basadas en pausas con alta precisión p. 3p. 12 . ","1. Tamaño de muestra pequeño, la necesidad de personal capacitado para calificar las sesiones de psicoterapia y la naturaleza intensiva en recursos del proceso de observación. 
2. Además, el estudio enfrentó desafíos relacionados con dificultades técnicas y errores humanos al registrar y guardar datos de las sesiones de psicoterapia. 
3. Además, el estudio se vio limitado por la falta de un modelo integral para observar las sesiones psicoterapéuticas momento a momento, lo cual es esencial para detectar rupturas de abstinencia p. 2p . 4 . ",